name,coding,agentic
A.X-K2,38.81,
Agnes 2.5 Pro Alpha,58.78,29.41
Command A+,27.85,3.63
"DeepSeek V4 Flash 0731 (Reasoning, Max Effort)",69.06,41.68
"DeepSeek V4 Pro (Reasoning, High Effort)",58.67,
"DeepSeek V4 Pro (Reasoning, Max Effort)",59.36,27.69
"DeepSeek V4 Pro 0813 (Reasoning, Max Effort)",68.83,42.27
Devstral 2,31.26,4.9
Devstral Small 2,29.33,4.78
DiffusionGemma 26B A4B,19.66,
EXAONE 4.5 33B,23.57,
G9v3-39A5B,33.07,
G9v3-3B,9.9,
GLM-5.2 (Non-reasoning),46.49,
GLM-5.2 (max),68.76,39.42
GLM-5.3 (max),74.76,53.38
GLM-5.3-Flash,71.53,51.23
Gemma 4 12B (Reasoning),30.96,
Gemma 4 26B A4B (Reasoning),39.32,
Gemma 4 31B (Non-reasoning),33.17,
Gemma 4 31B (Reasoning),43.43,6.73
Gemma 4 E2B (Reasoning),7.23,
Gemma 4 E4B (Reasoning),9.39,
Granite 4.1 30B,10.35,
Granite 4.1 3B,4.72,
Granite 4.1 8B,9.5,
Granite 4.2 30B,29.92,
Granite 4.2 3B,17.53,0.93
Granite 4.2 8B,22.38,3.71
Hy3,58.8,25.64
"HyperNova 60B 2605 (high, based on gpt-oss-120b)",23.23,2.66
Inkling (xhigh),52.06,24.32
Inkling Small,52.95,24.95
K-EXAONE (Reasoning),32.11,
K-EXAONE 2.0,40.62,
K2 Horizon 375B A23B,61.52,40.93
K2 Think V2,20.98,
Kimi K2.7 Code,60.76,22.49
Kimi K3 (low),71.98,30.71
Kimi K3 (max),76.24,50.65
LFM2.5-2.6B,7.74,
Ling 3.0 Flash,50.65,20.97
Ling 3.0 Tiny,26.54,7.06
Llama 3.3 Instruct 70B,11.93,
Llama 4 Maverick,16.28,0.62
Llama 4 Scout,8.17,0.55
LongCat 2.0,45.26,15.92
Magistral Small 1.2,14.72,
MiMo-V2-Flash (Non-reasoning),49.84,
MiMo-V2.5,56.8,17.36
MiMo-V2.5-Pro,60.19,22.67
MiniCPM-V 4.6 1.3B,0.69,
MiniCPM5-2B,14.5,8.95
MiniMax-M3,58.57,30.84
Ministral 3 14B,14.36,1.1
Ministral 3 3B,4.78,0.79
Ministral 3 8B,9.69,0.62
Mistral Large 3,20.07,2.44
Mistral Medium 3.5,46.9,9.35
Mistral Small 4 (Reasoning),26.64,1.44
Motif 3,63.48,
Muse Glimmer (high),49.0,10.46
NVIDIA Nemotron 3 Nano 30B A3B (Reasoning),14.37,1.0
NVIDIA Nemotron 3 Nano 4B,7.98,
Nanbeige4.1-3B,9.62,
Nemotron 3 Nano Omni 30B A3B Reasoning,13.75,
Nemotron 3 Super 120B A12B (Reasoning),37.72,4.13
Nemotron 3 Ultra 550B A55B (Reasoning),49.27,21.68
Nemotron 3.5 Lightning,26.76,6.14
Nemotron Cascade 2 30B A3B,25.35,
Nex-N2-Pro,59.12,
North Mini Code,36.45,1.07
Phi-4 Mini Instruct,3.84,
Qwen3 Coder Next,36.23,3.63
Qwen3 Next 80B A3B (Reasoning),17.42,
Qwen3.5 0.8B (Non-reasoning),1.21,
Qwen3.5 0.8B (Reasoning),0.0,
Qwen3.5 122B A10B (Non-reasoning),43.34,
Qwen3.5 122B A10B (Reasoning),45.71,9.63
Qwen3.5 2B (Non-reasoning),2.39,
Qwen3.5 2B (Reasoning),2.92,
Qwen3.5 35B A3B (Non-reasoning),36.98,
Qwen3.5 397B A17B (Reasoning),48.21,10.56
Qwen3.5 4B (Non-reasoning),20.33,
Qwen3.5 4B (Reasoning),22.6,
Qwen3.5 9B (Non-reasoning),23.46,
Qwen3.5 9B (Reasoning),28.66,
Qwen3.6 27B (Non-reasoning),46.63,
Qwen3.6 27B (Reasoning),53.72,20.07
Qwen3.6 35B A3B (Non-reasoning),28.14,
Qwen3.6 35B A3B (Reasoning),41.88,15.02
Qwen3.8 2.4T A95B,71.89,50.44
Qwen3.8 27B (Non-reasoning),44.59,
Qwen3.8 27B (low),58.22,39.86
Qwen3.8 27B (medium),56.14,
Qwen3.8 27B (xhigh),68.08,46.51
Qwen3.8-Flash-Next,73.05,
Ring-2.6-1T,42.83,12.9
Solar Open2 250B,45.01,
Step 3.7 Flash,39.57,
Trinity Large Thinking,25.77,1.16
gpt-oss-120b (high),30.44,6.21
gpt-oss-120b (low),21.24,
gpt-oss-20b (high),20.7,1.4
