model,provider,elo,price_per_1k,open_weights,elo_marketing_advertising,elo_anime,elo_text_rendering,elo_live_action_film,elo_human_anatomy,elo_lighting,elo_consumer,elo_social_media_creator_content,elo_retail_ecommerce,elo_frontier,elo_uiux_design,elo_animation_gaming,elo_knowledge,elo_architecture_real_estate,elo_fantasy_mythical,elo_productivity_knowledge_work,elo_reasoning,elo_physics,elo_complex_compositions,elo_layout,elo_material,elo_futuristic_sci_fi,elo_physical_spaces,elo_people_groups_activities,elo_general_photorealistic,elo_cartoon_illustration,elo_people_portraits,elo_text_typography,elo_nature_landscapes,elo_ui_ux_design,elo_commercial,elo_traditional_art,elo_graphic_design_digital_rendering,elo_vintage_retro
GPT Image 2 (high),OpenAI,1370.89,211.0,False,1184.31,1306.71,1180.66,1197.55,1179.17,1120.8,1181.72,1174.09,1141.87,1148.28,1182.11,1176.16,1185.92,1162.2,1353.1,1222.97,1192.44,1139.32,1225.48,1225.91,1111.99,,,,,,,,,,,,,
MAI-Image-2.6-Preview,Microsoft AI,1349.72,38.9,False,1176.54,,1139.59,1136.67,1120.07,1129.89,1130.42,1119.47,1163.12,1166.46,1189.26,1154.68,1170.15,1120.31,,1174.89,1148.27,1134.25,1198.68,1209.23,1148.72,,,,,,,,,,,,,
Reve 2.1,Reve,1324.04,200.0,False,1144.47,1283.09,1132.8,1138.73,1142.29,1094.94,1111.66,1156.3,1120.07,1118.1,1172.63,1122.34,1159.57,1135.38,1238.53,1166.07,1143.56,1088.97,1204.78,1208.5,1089.49,1287.9,1229.51,,,,,,,,,,,
Nano Banana 2 (Gemini 3.1 Flash Image Preview),Google,1321.13,67.0,False,1112.41,1318.11,1092.29,1117.68,1119.31,1088.8,1131.66,1125.58,1111.1,1109.24,1137.15,1135.04,1132.43,1122.47,1313.76,1148.26,1145.93,1111.15,1144.77,1159.61,1107.73,1295.75,1267.08,,,,,,,,,,,
GPT Image 1.5 (high),OpenAI,1305.08,133.0,False,1103.55,,1087.44,1116.8,1081.66,1094.05,1104.93,1117.51,1095.71,1097.62,1095.46,1117.9,1112.7,1108.59,1280.47,1133.51,1124.49,1090.78,1139.29,1146.25,1104.43,,,,,,,,,,,,,
MAI-Image-2.5,Microsoft AI,1304.48,48.128,False,1123.53,1224.45,1084.8,1092.48,1075.12,1099.76,1115.02,1124.78,1105.79,1078.72,1090.86,1136.7,1118.28,1083.04,1222.51,1132.97,1134.59,1096.67,1140.1,1153.72,1084.69,,,2971.04,,,,,,,,,,
Nano Banana Pro (Gemini 3 Pro Image),Google,1296.49,134.0,False,1082.0,1271.08,1083.43,1131.02,1096.82,1066.9,1096.61,1101.43,1066.57,1096.58,1131.23,1080.44,1123.11,1069.54,1220.99,1126.23,1108.07,1083.18,1115.1,1151.15,1058.11,,,,,,,,,,,,,
MAI-Image-2.5-Pro,Microsoft AI,1291.22,108.544,False,1098.56,1273.48,1054.69,1063.67,1096.27,1075.03,1098.84,1137.54,1105.22,1088.4,1112.73,1098.28,1117.44,1081.78,1320.01,1109.2,1140.25,1087.67,1123.91,1135.53,1074.28,1232.04,1194.27,,,,,,,,,,,
Nano Banana 2 Lite (Gemini 3.1 Flash Lite Image),Google,1289.49,33.6,False,1076.36,1335.18,1067.06,1113.6,1087.92,1066.55,1105.26,1083.87,1099.5,1062.27,1116.4,1096.45,1128.72,1098.71,1221.69,1107.53,1117.29,1072.15,1125.73,1107.0,1094.74,,,,,,,,,,,,,
Qwen-Image-3.0-Pro,Alibaba,1283.69,40.0,False,1076.51,,1074.38,1079.8,1059.61,1026.25,1103.45,1113.36,1083.6,1055.97,1094.1,1093.32,1083.63,1091.99,,1118.42,1108.31,1039.96,1167.74,1187.26,1069.72,,,,,,,,,,,,,
Seedream 5.0 Pro,Bytedance,1280.58,90.0,False,1053.55,1283.79,1052.49,1104.66,1050.35,1058.64,1088.79,1118.03,1080.64,1065.26,1071.3,1068.28,1097.16,1071.0,1232.81,1126.44,1103.47,1074.18,1132.13,1127.67,1083.18,1267.69,,,,,,,,,,,,
Riverflow 2.0,Sourceful,1275.71,150.0,False,1078.18,1259.24,1054.45,1108.59,1106.33,,1081.07,,,,,1064.62,,1028.46,1254.4,,,,1085.47,,,1247.16,1204.14,1311.16,1267.29,1186.92,1285.25,1215.53,1283.79,1222.06,1256.42,1268.13,1181.31,
Qwen-Image-3.0,Alibaba,1270.93,30.0,False,1091.18,,1061.93,1078.12,1072.72,1047.68,1050.27,1113.37,1045.41,1031.43,1085.21,1075.22,1076.86,1060.21,,1139.4,1116.2,1030.94,1066.21,1172.38,1009.09,,,,,,,,,,,,,
Reve 2.0,Reve,1261.5,24.0,False,1068.94,,,1072.5,,,1083.1,,,,,1080.44,,,,,,,,,,1261.52,,,1224.07,,,,,,,,1229.22,
grok-imagine-image-quality,SpaceXAI,1235.39,50.0,False,1027.84,1207.44,1034.87,1026.12,1048.77,995.73,1028.32,1065.03,1041.55,1025.98,1066.38,1045.6,1043.52,1029.59,1198.93,1062.57,1061.91,1035.42,1085.98,1095.73,1029.42,1152.53,1190.29,,,,,,,,,,,
Qwen Image 2.0 Pro (2026-04-22),Alibaba,1234.81,75.0,False,1021.22,,1022.64,1072.88,1024.38,1015.52,1035.52,1049.9,1038.37,992.91,997.2,998.6,1012.7,1050.17,,1062.92,1064.36,1023.04,1053.88,1034.48,1040.75,,,,,,,,,,,,,
MAI-Image-2.5-Flash,Microsoft AI,1229.47,19.968,False,1048.34,,998.35,1055.44,1037.16,1034.43,1064.6,1045.29,1057.84,1033.15,1004.58,1009.37,1043.34,1008.68,,1026.03,1057.05,1042.51,1029.62,1038.11,1031.72,,,,,,,,,,,,,
HiDream-O1-Image-1.5,HiDream,1227.06,80.0,False,1033.87,1260.92,1001.87,1066.98,1045.44,1022.14,1061.28,1030.83,1013.92,996.7,992.64,1055.12,1047.56,999.46,1304.43,1059.93,1023.67,984.1,1063.17,1062.17,1020.96,1198.38,,,,,,,,,,,,
FLUX.2 [max],Black Forest Labs,1224.71,70.0,False,1027.64,,997.58,1052.0,1035.5,1000.68,1041.68,1021.74,1027.96,1011.25,1042.42,1018.08,1044.25,1029.84,,1016.14,1043.34,1008.58,1037.88,1035.75,1028.01,,,,,,,,,,,,,
Seedream 4.0,Bytedance,1224.4,30.0,False,1031.36,,988.81,1048.21,1003.58,1014.61,1069.64,1073.94,1051.44,996.65,953.03,1057.43,1035.47,1006.87,,1042.88,1022.6,1064.93,1051.23,1036.37,1056.59,,,,,,,,,,,,,
FLUX.2 [flex],Black Forest Labs,1221.35,60.0,False,1021.51,,999.07,1011.87,1021.33,992.41,1033.32,1009.24,1037.24,993.29,1051.83,1037.16,1044.21,1035.37,,1005.17,1029.49,1062.89,1035.28,1044.58,983.78,,,,,,,,,,,,,
Luma UNI 1 Max,Luma Labs,1220.22,100.0,False,1019.99,,986.13,1049.01,1036.44,963.51,1065.27,1007.77,987.0,1036.71,1030.01,1022.89,1033.52,941.78,,1056.9,1033.09,1011.88,1050.97,1061.22,992.4,,,,,,,,,,,,,
