name,repo,attn,n_layers,kv_lora_rank,qk_rope_head_dim,n_kv_heads,head_dim,sliding_window,global_layers,params_hf_b,resolved_at,local_kind
Kimi K3 (max),moonshotai/Kimi-K3,mla,93,512.0,64.0,,,,,2779.932,2026-08-27,
Qwen3.8 2.4T A95B,Qwen/Qwen3.8-2.4T-A95B,gqa,92,,,4.0,256.0,,23.0,2446.183,2026-08-27,linear
GLM-5.3-Flash,zai-org/GLM-5.3-Flash,mla,45,512.0,0.0,,,,,321.323,2026-08-27,
Qwen3.8-Flash-Next,Qwen/Qwen3.8-Flash-Next,gqa,48,,,2.0,256.0,,12.0,180.0,2026-08-27,linear
"DeepSeek V4 Pro 0813 (Reasoning, Max Effort)",deepseek-ai/DeepSeek-V4-Pro-0813,mla,61,512.0,64.0,,,,,1650.498,2026-08-27,
GLM-5.2 (max),zai-org/GLM-5.2,mla,78,512.0,64.0,,,,,753.33,2026-08-27,
Qwen3.8 27B (xhigh),Qwen/Qwen3.8-27B,gqa,64,,,4.0,256.0,,16.0,27.781,2026-08-27,linear
"DeepSeek V4 Flash 0731 (Reasoning, Max Effort)",deepseek-ai/DeepSeek-V4-Flash-0731,mla,43,512.0,64.0,,,,,304.18,2026-08-27,
Kimi K3 (low),moonshotai/Kimi-K3,mla,93,512.0,64.0,,,,,2779.932,2026-08-27,
Motif 3,Motif-Technologies/Motif-3,mla,53,512.0,64.0,,,,,314.842,2026-08-27,
MiniMax-M3,MiniMaxAI/MiniMax-M3,gqa,60,,,4.0,128.0,,,427.04,2026-08-27,
"DeepSeek V4 Pro (Reasoning, Max Effort)",deepseek-ai/DeepSeek-V4-Pro,mla,61,512.0,64.0,,,,,1598.84,2026-08-27,
Qwen3.8 27B (medium),Qwen/Qwen3.8-27B,gqa,64,,,4.0,256.0,,16.0,27.781,2026-08-27,linear
"DeepSeek V4 Pro (Reasoning, High Effort)",deepseek-ai/DeepSeek-V4-Pro,mla,61,512.0,64.0,,,,,1598.84,2026-08-27,
MiMo-V2.5-Pro,XiaomiMiMo/MiMo-V2.5-Pro,gqa,70,,,8.0,192.0,,,1023.245,2026-08-27,
Qwen3.8 27B (low),Qwen/Qwen3.8-27B,gqa,64,,,4.0,256.0,,16.0,27.781,2026-08-27,linear
Inkling (xhigh),thinkingmachines/Inkling,gqa,66,,,8.0,128.0,,,952.378,2026-08-27,
Hy3,tencent/Hy3,gqa,80,,,8.0,128.0,,,298.786,2026-08-27,
Nex-N2-Pro,nex-agi/Nex-N2-Pro,gqa,60,,,2.0,256.0,,15.0,396.802,2026-08-27,linear
Inkling Small,unsloth/Inkling-Small,gqa,42,,,8.0,128.0,,,265.956,2026-08-27,
Agnes 2.5 Pro Alpha,Agnes-AI/Agnes-2.5-Pro-Alpha,gqa,60,,,2.0,256.0,,15.0,396.802,2026-08-27,linear
MiMo-V2.5,XiaomiMiMo/MiMo-V2.5,gqa,48,,,4.0,192.0,,,310.775,2026-08-27,
Ling 3.0 Flash,inclusionAI/Ling-3.0-flash,mla,42,512.0,64.0,,,,,127.486,2026-08-27,
Qwen3.6 27B (Reasoning),Qwen/Qwen3.6-27B,gqa,64,,,4.0,256.0,,16.0,27.781,2026-08-27,linear
Solar Open2 250B,upstage/Solar-Open2-250B,gqa,48,,,8.0,128.0,,,250.288,2026-08-27,
Muse Glimmer (high),meta-models/Muse-Glimmer-30B,gqa,52,,,2.0,128.0,2048.0,13.0,29.777,2026-08-27,sliding
A.X-K2,skt/A.X-K2,mla,61,512.0,64.0,,,,,691.69,2026-08-27,
GLM-5.2 (Non-reasoning),zai-org/GLM-5.2,mla,78,512.0,64.0,,,,,753.33,2026-08-27,
Qwen3.8 27B (Non-reasoning),Qwen/Qwen3.8-27B,gqa,64,,,4.0,256.0,,16.0,27.781,2026-08-27,linear
Qwen3.5 397B A17B (Reasoning),Qwen/Qwen3.5-397B-A17B,gqa,60,,,2.0,256.0,,15.0,403.398,2026-08-27,linear
G9v3-39A5B,ai9stars/G9v3-39A5B,gqa,38,,,2.0,128.0,,,38.967,2026-08-27,
Qwen3.5 122B A10B (Reasoning),Qwen/Qwen3.5-122B-A10B,gqa,48,,,2.0,256.0,,12.0,125.086,2026-08-27,linear
Qwen3.5 397B A17B (Non-reasoning),Qwen/Qwen3.5-397B-A17B,gqa,60,,,2.0,256.0,,15.0,403.398,2026-08-27,linear
