model,provider,context,quality,price,speed,latency,price_in,price_out,quality_estimated,coding,agentic,omniscience
"Claude Opus 5.5 (Adaptive Reasoning, Max Effort, Default Fallback)",Anthropic,1m,57.62,16.0,0.0,0.0,4.0,20.0,False,,,46.42
"Claude Opus 5.5 (Adaptive Reasoning, Xhigh Effort, Default Fallback)",Anthropic,1m,55.99,16.0,91.5188240460856,147.143444648,4.0,20.0,False,,,42.65
"Claude Opus 5.5 (Adaptive Reasoning, High Effort, Default Fallback)",Anthropic,1m,53.58,16.0,86.687625582155,34.8826356119999,4.0,20.0,False,,,40.63
"Claude Fable 5.1 (Adaptive Reasoning, Max Effort, Default Fallback)",Anthropic,1m,53.35,40.0,69.0653763549526,261.516872839,10.0,50.0,False,81.6,57.97,43.45
"Claude Fable 5.1 (Adaptive Reasoning, Xhigh Effort, Default Fallback)",Anthropic,1m,53.2,40.0,59.4954539648332,107.765571145,10.0,50.0,False,80.7,57.14,42.38
GPT-6 Astra (max),OpenAI,1m,52.67,40.0,54.5957289524634,364.45045843,10.0,50.0,False,76.94,51.46,43.4
GPT-6 Astra (xhigh),OpenAI,1m,52.39,40.0,52.6647041031747,184.479575723,10.0,50.0,False,75.94,50.61,43.42
"Claude Opus 5.5 (Adaptive Reasoning, Medium Effort, Default Fallback)",Anthropic,1m,51.24,16.0,79.4329346733458,21.175073733,4.0,20.0,False,,,40.32
"Claude Fable 5.1 (Adaptive Reasoning, High Effort, Default Fallback)",Anthropic,1m,51.15,40.0,55.7125156916604,22.363653925,10.0,50.0,False,79.14,53.3,40.8
GPT-6 Astra (high),OpenAI,1m,50.92,40.0,54.0441967954064,66.157709977,10.0,50.0,False,77.13,48.68,43.73
GPT-6 Astra (medium),OpenAI,1m,49.57,40.0,48.3632401609558,6.31798182450001,10.0,50.0,False,76.69,46.35,42.22
"Claude Fable 5.1 (Adaptive Reasoning, Medium Effort, Default Fallback)",Anthropic,1m,48.92,40.0,56.8992475288479,9.82657820949997,10.0,50.0,False,77.12,50.61,37.6
Muse Spark 1.3 (max),Meta,1m,48.09,3.5,214.451895485884,25.3713200765,1.25,4.25,False,75.78,55.71,25.0
GPT-6 Sol (max),OpenAI,872k,47.53,8.0,93.4683085805717,178.299839668,2.0,10.0,False,,,27.12
"Claude Fable 5.1 (Adaptive Reasoning, Low Effort, Default Fallback)",Anthropic,1m,46.82,40.0,55.1048888765098,6.4721353955,10.0,50.0,False,75.24,47.82,34.13
Grok 4.7 (xhigh),SpaceXAI,500k,46.45,5.0,44.6087809974262,1.10042380300001,2.0,6.0,False,,,32.03
Grok 4.7 (high),SpaceXAI,500k,46.33,5.0,54.1046806258883,0.875711585999966,2.0,6.0,False,,,30.9
MiMo-V2.6-Pro,Xiaomi,1m,46.32,0.76125,41.1234379208507,3.36496253949997,0.435,0.87,False,,,8.38
GPT-6 Astra (low),OpenAI,1m,45.78,40.0,47.0351388352963,3.27120461799996,10.0,50.0,False,75.69,39.48,40.55
Qwen3.8 Max (0902),Alibaba,983k,45.42,5.0,38.522611919477,3.09984213599999,2.0,6.0,False,,,11.98
Muse Spark 1.3 (xhigh),Meta,1m,45.07,3.5,212.111624431572,21.808792701,1.25,4.25,False,76.45,51.83,23.12
GLM-5.3 (max),Z AI,1m,44.78,3.6500000000000004,62.9981086097521,3.373438485,1.4,4.4,False,74.76,53.38,14.3
Grok 4.6 (high),SpaceXAI,500k,44.31,5.0,64.912029895674,45.2950701235,2.0,6.0,False,76.79,53.36,30.48
Grok 4.6 (xhigh),SpaceXAI,500k,44.2,5.0,67.5388928558001,41.686333456,2.0,6.0,False,75.88,52.73,29.32
GPT-6 Sol (xhigh),OpenAI,872k,44.1,8.0,91.3865566419878,44.759799934,2.0,10.0,False,,,26.67
Step 5 Preview,StepFun,1m,43.73,2.2750000000000004,73.9023337955877,2.850570984,1.0,2.7,False,,,16.38
Kimi K3 (max),Kimi,1m,43.59,12.0,35.3388757800456,3.83511378100002,3.0,15.0,False,76.24,50.65,19.7
Grok 4.6 (medium),SpaceXAI,500k,42.84,5.0,65.0073356346248,23.884404362,2.0,6.0,False,74.39,51.2,28.0
GPT-6 Sol (high),OpenAI,872k,42.82,8.0,88.1487934621468,12.222998611,2.0,10.0,False,,,26.82
"Claude Opus 5.5 (Adaptive Reasoning, Low Effort, Default Fallback)",Anthropic,1m,42.31,16.0,80.915792543812,6.01458015899993,4.0,20.0,False,,,38.87
GPT-5.6 Terra (max),OpenAI,1m,42.08,9.5,88.7678439268957,188.5962591415,2.0,12.0,False,76.66,43.73,0.05
GLM 5.3 Flash,Z AI,1m,41.81,0.4125,42.7743809774968,3.67313309600013,0.15,0.5,False,,,7.47
Gemini 3.8 Flash (high),Google,1m,40.93,3.0,287.590156600156,16.4090086645,0.75,3.75,False,76.29,41.1,29.55
Qwen3.8 2.4T A95B,Alibaba,983k,39.89,5.0,38.0929965263737,2.83857948550007,2.0,6.0,False,71.89,50.44,4.32
Qwen3.8-Flash-Next,Alibaba,256k,39.82,0.38999999999999996,52.358142690534,3.11853629300003,0.15,0.47,False,73.05,,-9.72
GPT-6 Sol (medium),OpenAI,872k,39.78,8.0,114.328943120138,1.964101809,2.0,10.0,False,,,27.02
Gemini 3.8 Flash (medium),Google,1m,39.77,3.0,0.0,0.0,0.75,3.75,False,74.06,40.47,28.58
