model,slug,provider,family,release_date,is_current,open_weights,elo_t2v,price_per_min_t2v,elo_i2v,price_per_min_i2v,audio,price_per_min_audio,gen_time_s,gen_time_host
Wan 3.0,wan-3-0,Alibaba,,,True,False,1334.57,12.0,1361.73,12.0,True,12.0,,
Gemini Omni Flash,gemini-omni-flash,Google,Gemini Omni,2026-05-19,True,False,1331.93,6.0,1369.17,6.0,True,6.0,,
MiniMax H3,minimax-h3,MiniMax,Hailuo AI (MiniMax),2026-07-30,True,True,1302.29,7.8,1356.38,7.8,True,7.8,,
HappyHorse-1.0,happyhorse-1-0,Alibaba-ATH,HappyHorse,2026-04-07,True,False,1286.12,13.2,1295.16,13.2,True,13.2,,
HappyHorse-1.1,happyhorse-1-1,Alibaba-ATH,HappyHorse,2026-06-22,True,False,1271.9,9.9,1314.51,9.9,True,9.9,,
Dreamina Seedance 2.0 720p,seedance-2-0,ByteDance Seed,Seedance,2026-03-18,True,False,1258.76,9.07,1339.19,9.07,True,9.07,,
Wan2.7-260612,wan2-7-260612,Alibaba,Wan,2026-06-12,True,False,1242.68,9.0,,,True,9.0,,
grok-imagine-video,grok-imagine-video,SpaceXAI,Grok Imagine,2026-01-27,True,False,1235.32,4.2,1328.4,4.2,True,4.2,,
PixVerse V5.6,pixverse-v5-6,PixVerse,PixVerse,2026-02-25,True,False,1230.12,9.0,1287.25,9.0,True,,,
PixVerse V6,pixverse-v6,PixVerse,PixVerse,2026-03-23,True,False,1229.92,5.4,1339.84,5.4,True,6.9,,
Kling 3.0 Omni 1080p (Pro),kling-o3-pro,KlingAI,Kling,2026-02-04,True,False,1229.89,13.44,1279.76,13.44,True,16.8,,
Kling 3.0 1080p (Pro),kling-3-0-pro,KlingAI,Kling,2026-02-04,True,False,1229.83,13.44,1277.8,13.44,True,20.16,,
Vidu Q3 Pro,vidu-q3-pro,Vidu,Vidu,2026-01-30,True,False,1225.2,6.0,1291.19,9.6,True,7.2,559.714632491,Vidu
Bach-1.0 Preview,bach-1-0-preview,Video Rebirth,Video Rebirth,2026-04-30,True,False,1222.47,3.0,,,False,,,
PixVerse V5.5,pixverse-v5-5,PixVerse,PixVerse,2025-12-03,True,False,1219.32,6.4,1275.26,6.4,False,,,
LTX-2.5 Fast,ltx-2-5-fast,Lightricks,LTX,2026-08-11,True,True,1217.58,7.8,1214.92,7.8,True,7.8,,
Veo 3.1 Lite,veo-3-1-lite,Google,Google Veo,2026-03-31,True,False,1215.03,3.0,1239.27,3.0,True,4.8,,
Kling 3.0 Omni 720p (Standard),kling-o3-standard,KlingAI,Kling,2026-02-04,True,False,1214.76,10.08,1271.5,10.08,True,13.44,,
Runway Gen-4.5,runway-gen-4-5,Runway,Runway,2025-12-01,True,False,1214.1,,1264.04,,False,,,
Veo 3.1,veo-3-1,Google,Google Veo,2026-01-30,True,False,1213.71,12.0,1252.62,12.0,True,24.0,,
Veo 3,veo-3-no-audio,Google,Google Veo,2025-07-29,True,False,1211.39,12.0,1225.4,12.0,False,,,
SkyReels V4,skyreels-v4,Skywork AI,Skyreels,2026-03-18,True,False,1210.66,21.0,1282.79,21.0,True,21.0,,
Wan 2.7,wan-2-7-v2v,Alibaba,Wan,2026-04-25,True,False,1209.85,9.0,1268.98,9.0,True,9.0,,
Kling 3.0 720p (Standard),kling-3-0-standard,KlingAI,Kling,2026-02-04,True,False,1209.71,10.08,1269.97,10.08,True,15.12,,
LTX-2.5 Pro,ltx-2-5-pro,Lightricks,LTX,2026-08-11,True,True,1209.24,10.2,1193.25,10.2,True,10.2,,
Veo 3.1 Fast,veo-3-1-fast,Google,Google Veo,2026-01-30,True,False,1207.61,6.0,1259.29,6.0,True,7.2,,
Kling 2.5 Turbo 1080p,kling-25-turbo-1080p,KlingAI,Kling,2025-09-23,True,False,1202.58,4.2,1298.75,4.2,False,,,
Wan 2.6,wan-2-6,Alibaba,Wan,2025-12-16,True,False,1196.59,9.0,1222.1,9.0,True,9.0,,
Kling 2.6 Pro (January),kling-2-6-pro-january-no-audio,KlingAI,Kling,2026-01-13,True,False,1195.6,4.2,1266.28,4.2,True,8.4,,
Kling O1 Standard (December),kling-o1-standard,KlingAI,Kling,2025-12-01,False,False,1194.82,5.04,,,False,,,
Kling O1 Pro (January),kling-o1-pro-january,KlingAI,Kling,2026-01-13,True,False,1192.71,10.08,,,False,,,
Kling O1 Pro (December),kling-o1-pro,KlingAI,Kling,2025-12-01,False,False,1185.43,10.08,1280.97,10.08,False,,,
Kling O1 Standard (January),kling-o1-standard-january,KlingAI,Kling,2026-01-13,True,False,1184.88,5.04,,,False,,,
Ray 3,ray-3,Luma Labs,Luma Labs,2025-09-19,True,False,1184.75,13.2,1215.76,13.2,False,,,
Kling 2.6 Standard (January),kling-2-6-standard-january-no-audio,KlingAI,Kling,2026-01-13,True,False,1183.76,5.04,1265.11,,False,,,
Kling 2.6 Pro (December),kling-2-6-pro,KlingAI,Kling,2025-12-03,False,False,1182.9,4.2,1249.7,4.2,False,,,
Sora 2 Pro,sora-2-pro,OpenAI,Sora,2025-09-30,True,False,1178.8,30.0,,,True,30.0,,
