model,provider,context,quality,price,speed,latency,scraped_at
"Claude Opus 4.8 (Adaptive Reasoning, Max Effort)",Anthropic,1m,55.69,20.0,64.9895332690788,22.6862262385,2026-06-26
GPT-5.5 (xhigh),OpenAI,272k,54.84,23.75,73.1244870272835,25.5708217295001,2026-06-26
"Claude Opus 4.7 (Adaptive Reasoning, Max Effort)",Anthropic,1m,53.53,20.0,74.2201851962223,18.7792362570003,2026-06-26
GPT-5.5 (high),OpenAI,272k,53.13,23.75,73.08304912733,13.8401487150002,2026-06-26
GPT-5.4 (xhigh),OpenAI,272k,51.4,11.875,149.899453536074,95.902291146,2026-06-26
GLM-5.2 (max),Z AI,980k,51.09,2.92,66.8891291182465,1.93949519650001,2026-06-26
GPT-5.5 (medium),OpenAI,272k,50.41,23.75,67.9017372830898,3.76310405300001,2026-06-26
Gemini 3.5 Flash (high),Google,1m,50.2,7.125,214.886859647702,13.4383577110003,2026-06-26
"Claude Sonnet 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,1m,47.21,12.0,67.0861983006302,72.5484966454997,2026-06-26
Gemini 3.1 Pro Preview,Google,1m,46.46,9.5,136.243611793192,27.579356941,2026-06-26
Qwen3.7 Max,Alibaba,991k,45.99,6.25,202.293079171287,1.618434825,2026-06-26
Gemini 3.5 Flash (medium),Google,1m,45.38,7.125,212.380404927442,11.912668016,2026-06-26
MiniMax-M3,MiniMax,1m,44.44,0.9749999999999999,28.3277175582466,1.10738544200012,2026-06-26
"DeepSeek V4 Pro (Reasoning, Max Effort)",DeepSeek,66k,44.27,0.76125,67.0771263474987,0.984733014999961,2026-06-26
GPT-5.3 Codex (xhigh),OpenAI,400k,44.27,10.9375,82.1772368431541,52.379286844,2026-06-26
"Claude Opus 4.6 (Adaptive Reasoning, Max Effort)",Anthropic,1m,43.71,20.0,61.0862387414007,16.271223365,2026-06-26
GPT-5.5 (low),OpenAI,272k,43.46,23.75,60.3362103518577,1.64764057999946,2026-06-26
Kimi K2.6,Kimi,262k,42.84,2.8,446.358806126956,0.545463849500265,2026-06-26
"Claude Opus 4.7 (Non-reasoning, High Effort)",Anthropic,1m,42.68,20.0,44.1768140126753,0.888276454000049,2026-06-26
MiMo-V2.5-Pro,Xiaomi,1m,42.24,0.76125,42.4487656698659,2.13935139200021,2026-06-26
GPT-5.2 (xhigh),OpenAI,400k,42.18,10.9375,82.0863676609587,89.004026731,2026-06-26
Kimi K2.7 Code,Kimi,66k,41.95,2.8125,54.4080829607439,0.582220447500049,2026-06-26
Nex-N2-Pro,Nex AGI,262k,40.96,2.0,115.473255978979,1.00890164500015,2026-06-26
"DeepSeek V4 Pro (Reasoning, High Effort)",DeepSeek,66k,40.83,0.76125,74.8804521762797,1.02453137799966,2026-06-26
Claude Opus 4.5 (Reasoning),Anthropic,200k,40.77,20.0,72.1465836841847,8.88235306600018,2026-06-26
MiMo-V2-Pro,Xiaomi,131k,40.29,2.5,43.1053800047289,2.24830080299989,2026-06-26
"DeepSeek V4 Flash (Reasoning, Max Effort)",DeepSeek,1m,40.28,0.1925,109.343158256913,1.88607957449995,2026-06-26
GLM-5.1 (Reasoning),Z AI,203k,40.16,2.6500000000000004,62.0280496115094,0.789464571999815,2026-06-26
MiMo-V2.5,Xiaomi,1m,40.14,0.24500000000000002,88.5469345016621,0.502120238999794,2026-06-26
GPT-5.2 Codex (xhigh),OpenAI,400k,40.14,10.9375,139.04984937953,1.219903257,2026-06-26
Qwen3.6 Max Preview,Alibaba,256k,40.0,6.175,37.063150396514,2.10112240799981,2026-06-26
GPT-5.4 mini (xhigh),OpenAI,400k,39.98,3.5625,240.348137308877,105.819059897,2026-06-26
Grok Build 0.1 0616,xAI,256k,39.8,1.75,66.0957917250702,0.403997948999972,2026-06-26
Qwen3.6 Plus,Alibaba,1m,39.56,2.375,52.564312555991,1.8372359089999,2026-06-26
Gemini 3 Pro Preview (high),Google,1m,39.55,9.5,141.644837302101,28.3232314869999,2026-06-26
GLM-5 (Reasoning),Z AI,203k,39.5,2.12,8.66257316144589,80.7171966784999,2026-06-26
GPT-5.4 (low),OpenAI,272k,39.14,11.875,108.637648605803,1.47750432549992,2026-06-26
Qwen3.7 Plus,Alibaba,1m,38.98,0.9699999999999999,49.9539787779257,1.66469011300024,2026-06-26
GPT-5.1 (high),OpenAI,272k,38.91,7.8125,91.2583275257803,34.1134251484998,2026-06-26
GPT-5.4 nano (xhigh),OpenAI,400k,38.24,0.9875,164.554692833061,3.21607274299998,2026-06-26
MiniMax-M2.7,MiniMax,197k,38.13,0.9749999999999999,468.825184038132,0.707698693000111,2026-06-26
Kimi K2.5 (Reasoning),Kimi,262k,38.11,1.8,35.3695982119748,0.561477128999968,2026-06-26
GPT-5.2 (medium),OpenAI,400k,37.95,10.9375,69.1502880299505,2.87941530100011,2026-06-26
"Claude Opus 4.6 (Non-reasoning, High Effort)",Anthropic,1m,37.79,20.0,47.5887500972079,2.23611540299999,2026-06-26
Nemotron 3 Ultra 550B A55B (Reasoning),NVIDIA,262k,37.76,0.9025000000000001,431.384221058249,0.651585605500145,2026-06-26
Gemini 3 Flash Preview (Reasoning),Google,1m,37.76,2.375,221.638012773499,5.57352446700003,2026-06-26
Grok 4.3 (high),xAI,1m,37.58,2.1875,149.699381440496,22.6454085539999,2026-06-26
"DeepSeek V4 Flash (Reasoning, High Effort)",DeepSeek,1m,37.36,0.1925,110.106879320078,2.06183102650038,2026-06-26
Qwen3.6 27B (Reasoning),Alibaba,131k,37.05,2.4,442.500791371673,0.700136716000088,2026-06-26
Grok 4.20 0309 v2 (Reasoning),xAI,2m,37.0,5.0,239.352428427822,14.0336903324998,2026-06-26
Grok 4.20 0309 (Reasoning),xAI,2m,36.5,5.0,227.122461601039,11.585792287,2026-06-26
MiMo-V2-Omni-0327,Xiaomi,131k,36.39,1.6,89.9315100279889,1.8084768650001,2026-06-26
GPT-5 Codex (high),OpenAI,400k,36.12,7.8125,157.353389047697,7.08722900500004,2026-06-26
GPT-5 (high),OpenAI,400k,36.11,7.8125,104.530491286537,76.8278002100001,2026-06-26
Grok 4.3 (medium),xAI,524k,36.0,2.1875,227.037207404009,10.6493662380001,2026-06-26
"Claude Sonnet 4.6 (Non-reasoning, High Effort)",Anthropic,200k,35.89,12.0,56.8982757334724,1.20146583300004,2026-06-26
Grok 4.3 (low),xAI,524k,35.44,2.1875,212.50876531756,3.85859766099929,2026-06-26
KAT Coder Pro V2,KwaiKAT,256k,35.39,0.9749999999999999,113.693133298784,0.971536683500062,2026-06-26
GPT-5.5 (Non-reasoning),OpenAI,1m,35.38,23.75,60.2281131583863,0.939132132000168,2026-06-26
GLM-5.1 (Non-reasoning),Z AI,203k,35.37,2.6500000000000004,63.1393661192234,0.891641713500008,2026-06-26
Gemini 3.5 Flash (minimal),Google,1m,34.91,7.125,193.078375316285,0.889852824999934,2026-06-26
GPT-5.1 Codex (high),OpenAI,400k,34.73,7.8125,184.600902236253,2.58068514100003,2026-06-26
Claude Opus 4.5 (Non-reasoning),Anthropic,200k,34.71,20.0,57.7509244684321,1.69591911549992,2026-06-26
Claude 4.5 Sonnet (Reasoning),Anthropic,1m,34.65,12.0,54.4578585322845,7.15213300899995,2026-06-26
KAT-Coder-Pro V1,KwaiKAT,256k,34.62,0.9749999999999999,112.940103022712,1.01519741000004,2026-06-26
Kimi K2.6 (Non-reasoning),Kimi,262k,34.58,2.75,33.7996940654439,1.791472731,2026-06-26
"Claude Sonnet 4.6 (Non-reasoning, Low Effort)",Anthropic,1m,34.26,12.0,48.7900533416488,1.1097329344999,2026-06-26
GLM-4.7 (Reasoning),Z AI,200k,33.81,1.4125,29.8106946363031,0.48181111100007,2026-06-26
Qwen3.5 27B (Reasoning),Alibaba,262k,33.78,1.5625,35.1862515055712,1.52206823500001,2026-06-26
GPT-5 (medium),OpenAI,400k,33.74,7.8125,92.8478932387617,40.4690803635001,2026-06-26
Claude 4.1 Opus (Reasoning),Anthropic,200k,33.71,60.0,44.1558255281811,9.77381579500002,2026-06-26
Qwen3.5 397B A17B (Reasoning),Alibaba,262k,33.68,1.8524999999999998,97.9533655106357,1.2975207569998,2026-06-26
