model,provider,context,quality,price,speed,latency,price_in,price_out,scraped_at
"Claude Opus 5 (Adaptive Reasoning, Max Effort)",Anthropic,1m,63.05,20.0,54.5095156444235,47.827108079,5.0,25.0,2026-08-24
"Claude Opus 5 (Adaptive Reasoning, Xhigh Effort)",Anthropic,1m,62.52,20.0,51.9715965699455,35.2977460845,5.0,25.0,2026-08-24
"Claude Fable 5 (Adaptive Reasoning, Max Effort, Opus 4.8 Fallback)",Anthropic,1m,62.07,40.0,69.4582758409269,97.8329346805,10.0,50.0,2026-08-24
"Claude Opus 5 (Adaptive Reasoning, High Effort)",Anthropic,1m,61.48,20.0,52.297719061385,18.9670568525,5.0,25.0,2026-08-24
GPT-5.6 Sol (max),OpenAI,1m,60.93,23.75,74.3983805717385,132.828038026,5.0,30.0,2026-08-24
Grok 4.6 (high),SpaceXAI,500k,60.92,5.0,68.7173744237776,40.109306451,2.0,6.0,2026-08-24
Grok 4.6 (xhigh),SpaceXAI,500k,60.01,5.0,63.4694800735562,46.081283731,2.0,6.0,2026-08-24
Kimi K3 (max),Kimi,1m,59.7,12.0,34.3117221425909,3.06935209849999,3.0,15.0,2026-08-24
GLM-5.3 (max),Z AI,1m,59.51,3.6500000000000004,0.0,0.0,1.4,4.4,2026-08-24
Grok 4.6 (medium),SpaceXAI,500k,59.01,5.0,61.2111728856386,27.3255398425,2.0,6.0,2026-08-24
GPT-5.6 Sol (xhigh),OpenAI,1m,59.01,23.75,67.2064745878008,35.8730696,5.0,30.0,2026-08-24
"Claude Opus 5 (Adaptive Reasoning, Medium Effort)",Anthropic,1m,58.64,20.0,53.2678978120091,4.90128628349999,5.0,25.0,2026-08-24
Qwen3.8 Max,Alibaba,1m,58.08,5.0,53.8417282635343,2.57765149099998,2.0,6.0,2026-08-24
Qwen3.8 2.4T A95B,Alibaba,983k,57.7,5.0,43.651863963948,2.53166768200001,2.0,6.0,2026-08-24
GPT-5.6 Sol (high),OpenAI,1m,57.33,23.75,66.2961687452789,10.0886485055,5.0,30.0,2026-08-24
Muse Spark 1.2 (xhigh),Meta,1m,56.76,3.5,0.0,0.0,1.25,4.25,2026-08-24
GPT-5.6 Terra (max),OpenAI,1m,56.58,9.5,122.691386416421,185.761912191,2.0,12.0,2026-08-24
Gemini 3.7 Flash (high),Google,1m,56.03,3.0,340.130273962739,12.185259236,0.75,3.75,2026-08-24
Grok 4.5 (high),SpaceXAI,500k,55.76,5.0,63.6701532826472,7.34814316199999,2.0,6.0,2026-08-24
GPT-5.6 Sol (medium),OpenAI,1m,55.57,23.75,68.6661597386793,4.34236468899994,5.0,30.0,2026-08-24
"Claude Sonnet 5 (Adaptive Reasoning, Max Effort)",Anthropic,1m,55.26,8.0,77.0048345342055,194.2931733515,2.0,10.0,2026-08-24
Gemini 3.7 Flash (medium),Google,1m,53.42,3.0,347.80094125407,4.99974283799994,0.75,3.75,2026-08-24
"DeepSeek V4 Pro 0813 (Reasoning, Max Effort)",DeepSeek,1m,53.2,3.3,70.6184270785178,1.84780608950002,1.32,3.96,2026-08-24
GPT-5.6 Terra (xhigh),OpenAI,1m,52.77,9.5,110.841647372503,26.3828718915,2.0,12.0,2026-08-24
GLM-5.2 (max),Z AI,1m,52.64,3.6500000000000004,0.0,0.0,1.4,4.4,2026-08-24
"Claude Opus 5 (Adaptive Reasoning, Low Effort)",Anthropic,1m,52.46,20.0,54.7334072160088,3.54698050849998,5.0,25.0,2026-08-24
GPT-5.6 Luna (max),OpenAI,1m,52.32,0.95,144.689201670953,146.928360795,0.2,1.2,2026-08-24
Qwen3.8 27B (xhigh),Alibaba,256k,52.02,2.375,53.2745172199649,2.97633693399996,0.5,3.0,2026-08-24
"DeepSeek V4 Flash 0731 (Reasoning, Max Effort)",DeepSeek,1m,51.77,1.1,125.481218027034,1.127916613,0.44,1.32,2026-08-24
Grok 4.6 (low),SpaceXAI,500k,51.68,5.0,62.257217108612,7.76460776749997,2.0,6.0,2026-08-24
Gemini 3.6 Flash (high),Google,1m,51.58,3.0,209.108223975002,15.7950498225,0.75,3.75,2026-08-24
Gemini 3.7 Flash (low),Google,1m,50.94,3.0,298.059532145377,0.99934862700013,0.75,3.75,2026-08-24
GPT-5.6 Sol (low),OpenAI,1m,50.73,23.75,67.6477097990437,2.83007498100005,5.0,30.0,2026-08-24
GPT-5.6 Terra (high),OpenAI,1m,50.11,9.5,113.291207494313,2.5017083805,2.0,12.0,2026-08-24
GPT-5.6 Luna (xhigh),OpenAI,1m,50.06,0.95,139.002813040444,52.7449478185,0.2,1.2,2026-08-24
Kimi K3 (low),Kimi,1m,48.25,12.0,35.6670456546719,3.67458298700003,3.0,15.0,2026-08-24
Gemini 3.1 Pro Preview,Google,1m,47.74,9.5,125.067423840928,31.865555013,2.0,12.0,2026-08-24
GPT-5.6 Luna (high),OpenAI,1m,46.96,0.95,141.025793906186,11.2057747640001,0.2,1.2,2026-08-24
GPT-5.6 Terra (medium),OpenAI,1m,46.76,9.5,106.731635057554,1.77998710599999,2.0,12.0,2026-08-24
Gemini 3.5 Flash (medium),Google,1m,46.67,7.125,217.419962283717,15.754650737,1.5,9.0,2026-08-24
GPT-5.3 Codex (xhigh),OpenAI,400k,45.51,10.9375,142.951945501155,59.292092356,1.75,14.0,2026-08-24
MiniMax-M3,MiniMax,1m,45.4,0.9749999999999999,104.973653401475,1.52686925300009,0.3,1.2,2026-08-24
"DeepSeek V4 Pro (Reasoning, Max Effort)",DeepSeek,1m,45.27,0.76125,74.8394352390761,1.69996054449999,0.435,0.87,2026-08-24
Qwen3.8 27B (medium),Alibaba,256k,44.45,2.375,64.0158671315592,3.00817140799996,0.5,3.0,2026-08-24
